"";"X1";"descripcio";"tipusHabitatge";"poble";"parroquia";"dataAnunci";"m2";"numHabitacions";"tipusOferta";"numVisites";"preu";"pm2"
"11";10;"Lloguer 150 m2 - 3 hab. Meravellós àtic dúplex situat a la parróquia d'Andorra la Vella molt pròxim de tots els serveis necessaris, els seus grans espais, la seva immillorable orientació que ens permet gaudir del sol durant tot el dia, totes les estances exteriors i uns acabats de disseny fan d'aquesta una propietat única. En la primera planta ens sorprèn el gran saló-menjador, la seva alçada, l'accés a la terrassa i les qualitats dels materials fan d'aquest un espai perfecte per gaudir en família i amics. En la mateixa planta ens trobem la gran cuina totalment equipada, amb una gran finestra per gaudir del paisatge i amb espai suficient per a una taula on poder fer petits àpats. També trobem l'habitació principal amb el seu propi bany amb banyera i per acabar un bany de cortesia per la comoditat de tots. Pel saló hi ha les escales de fusta que porten al nivell sota àtic. Només pujar ens trobem un gran espai diàfan perfecte per a despatx, biblioteca o sala de jocs. En aquesta planta també hi trobem 2 habitacions dobles cada una amb el seu bany complet. La propietat es completa amb un box tancat amb capacitat per a 4 vehicles i un espai que pot ser traster i/o lloc d'aparcament per unes 6 motos.Disponible a partir de l'1 de Desembre.";"NaN";"pal";"andorra la vella";"16/10/2019";150;3;"Lloguer";832;1400;9,33333333333333
"12";11;"Lloguer 115 m2 - 3 hab. Pis en venda o lloguer al centre d' Andorra la Vella de 115m², ampli saló menjador, cuina tancada amb safareig, 3 habitacions amb armaris, (una suite, una doble, una individual), plaça d'aparcament. La vivenda està molt ben situada, en una zona envoltada de molts serveis. El pis disposa d'una plaça d'aparcament.  Disponible 30/11/19.";"Pis";"andorra la vella";"andorra la vella";"16/10/2019";115;3;"Lloguer";484;1000;8,69565217391304
"13";12;"Lloguer 135 m2 - 4 hab. Fantàstic PIS FAMILIAR de lloguer AL CENTRE DE LA CAPITAL. Pis en perfecte estat de conversació, ubicat al centre d'Andorra la Vella. Ampli saló menjador exterior amb molts finestrals i llar de foc, Cuina gran tancada i amb finestra a l'exterior. 4 habitacions (3 d'elles dobles i un individual). 2 banys complets. Pàrquing i traster inclòs.";"Pis";"andorra la vella";"andorra la vella";"16/10/2019";135;4;"Lloguer";792;1500;11,1111111111111
"14";14;"Lloguer 75 m2 - 2 hab. PIS EN PLE CENTRE DE LLOGUER!!!! Consta de  2 habitacions dobles, safareig, bany complet amb banyera, rebedor, cuina office amb balcó. Ampli salo menjador amb sortida a la terrassa i vistes a la muntanya. Despeses de calefacció incloses. NO ADMETEN ANIMALS !! Semi moblat.";"Pis";"andorra la vella";"andorra la vella";"15/10/2019";75;2;"Lloguer";239;850;11,3333333333333
"15";15;"""Lloguer 125 m2 - 3 hab. Àtic Dúplex per llogar nou a estrenar situat al centre d'Andorra la Vella, a la planta baixa disposa d'un gran saló menjador, cuina exterior totalment equipada i un lavabo de cortesia, a la primera planta disposa de 3 dormitoris dobles i exteriors, amb armaris encastats, 1 bany complet.  Disposa d'una plaça d'aparcament i un guarda esquí a la mateixa finca. """"ÀTIC NOU A ESTRENAR AMB ACABATS D'ALTA QUALITAT"""" Per a més informació visiti la nostra web: www.expofinques.ad o bé truqui al: +376 88 70 88.""";"NaN";"andorra la vella";"andorra la vella";"15/10/2019";125;3;"Lloguer";270;1450;11,6
"16";16;"Lloguer 92 m2 - 2 hab. Pis cèntric de 92 m2, just a l`Av. Meritxell. Consta de 2 habitacions dobles amb armaris encastats, 2 banys complerts, cuina amb passaplats al saló menjador i accès a una petita terrassa, safareig.Possibilitat de plaça d`aparcament al mateix edifici per +97€";"Pis";"meritxell";"andorra la vella";"14/10/2019";92;2;"Lloguer";301;1017;11,054347826087
"17";17;"Lloguer 96 m2 - 2 hab. Pis en lloguer de 96m2, distribuits en 2 habitacions, 2 banys, cuina , saló menjador, 2 vestidors i traster de 16m2.Possibilitat d`aparcament +97.47€";"Pis";"andorra la vella";"andorra la vella";"12/10/2019";96;2;"Lloguer";701;1100;11,4583333333333
"18";18;"Lloguer 145 m2 - 3 hab. Fantástico piso para alquilar con tres habitaciones y tres baños, situado en el centro de Andorra la Vella, teniendo todos los servicios muy próximos.~ Este piso dispone de un recibidor, un salón comedor y sala de estar con acceso a la terraza de 6,57m2, cocina independiente equipada y un lavadero.~ También dispone de tres habitaciones y tres baños repartidos de la siguiente manera: una habitación tipo suite con su baño, una habitación doble y otra habitación simple con baño compartido y por ultimo un baño de cortesía. Las habitaciones tienen el suelo de parqué y armarios empotrados. ~ Gracias a su buena orientación dispone de sol durante el día. ~ NO se admiten animales. Posibilidad de plaza de aparcamiento en el mismo edificio.~";"Pis";"andorra la vella";"andorra la vella";"12/10/2019";145;3;"Lloguer";601;1200;8,27586206896552
"19";19;"Lloguer 88 m2 - 3 hab. Es lloga pis semi-reformat ubicat al centre d`Andorra la Vella, consta de 87,67 m2 distribuits en 3 habitacions dobles amb armaris encastats, 2 banys complerts, cuina reformada i molt amplia, saló menjador amb accès a la terrassa de 3m2 i vistes a la vall. Possibilitat de plaça d`aparcament al mateix edifici per 75€.Despeses de consums a part.";"Pis";"erts";"andorra la vella";"11/10/2019";88;3;"Lloguer";519;965;10,9659090909091
"20";20;"Lloguer  m2 - 1 hab. Apartament nou a estrenar, completament moblat, equipat i amb terra de parquet, en un edifici de nova construcció. Situat a la zona de l'estadi comunal, disposa d'un saló menjador moblat una cuina equipada amb tots els electrodomèstics necessaris una habitació moblada i amb armaris encastats i un bany complet. Inclou una plaça d'aparcament.Possibilitat de venda per 215.000€(No lloguer de temporada)";"NaN";"andorra la vella";"andorra la vella";"11/10/2019";122,634920634921;1;"Lloguer";442;800;6,52342738804038
"21";21;"Lloguer 92 m2 - 2 hab. Pis lloguer centric, rebedor, 2 habitacions, 2 bany complet amb banyera, safareig, vestidor, sala d'estar-menjador, cuina i terrassa 6.57m2";"Pis";"andorra la vella";"andorra la vella";"10/10/2019";92;2;"Lloguer";238;1017;11,054347826087
"22";22;"Lloguer 140 m2 - 3 hab. LLOGUER!!!!!!! PIS  SITUAT EN PLE CENTRE DE LA PARRÓQUIA D'ANDORRA AMB 140m2,3 dormitoris dobles, 2 banys complets, més un de cortesia, cuina amb campana ,vitroceramica, i forn, safareig, saló menjador, molta llum , terrassa de 3,9m2. Pàrquing a part 97,47.-Â€, despeses a part.";"Pis";"andorra la vella";"andorra la vella";"10/10/2019";140;3;"Lloguer";370;1400;10
"23";23;"Lloguer 96 m2 - 2 hab. LLOGUER!!!!!!! PIS  SITUAT EN PLE CENTRE DE LA PARRÓQUIA D'ANDORRA AMB 96m2,2 dormitoris dobles, 2 banys complets, 2 vestidors, cuina amb campana ,vitroceramica, i forn, safareig, saló menjador, molta llum, Pàrquing a part 97,47.-Â€, despeses a part.";"Pis";"andorra la vella";"andorra la vella";"10/10/2019";96;2;"Lloguer";144;1100;11,4583333333333
"24";24;"Lloguer 74 m2 - 1 hab. Pis lloguer centric, rebedor, 1 habitacio, 1 bany complet, safareig, vestidor, sala d'estar-menjador, cuina";"Pis";"andorra la vella";"andorra la vella";"10/10/2019";74;1;"Lloguer";348;900;12,1621621621622
"25";25;"Lloguer 115 m2 - 3 hab. Bonito ático para alquilar totalmente céntrico, tres habitaciones y dos baños. Gracias a su orientación dispone de sol durante el día.~ Este ático dispone de un comedor, una cocina equipada y una terraza. ~ En el mismo edificio incluye una plaza de aparcamiento y otra opcional por 90€.~ No admiten mascotas y no esta amueblado. ~";"NaN";"andorra la vella";"andorra la vella";"10/10/2019";115;3;"Lloguer";569;1550;13,4782608695652
"26";26;"Lloguer 96 m2 - 2 hab. Àtic en lloguer al centre d'Andorra la Vella, 96m², 2 dormitoris, 2 banys complets, cuina tancada i equipada amb safareig, ampli saló menjador, traster de 16m². Plaça de garatge opcional a 97,47 Â€.NO S'ADMENTEN ANIMALS - NO ES PERMETEN ANIMALS";"NaN";"andorra la vella";"andorra la vella";"+ DE 1 MES";96;2;"Lloguer";109;1100;11,4583333333333
"27";27;"Lloguer 74 m2 - 1 hab. Pis en lloguer semi nou al centre d'Andorra la Vella, 74m², 1 dormitori doble, 1 bany complet, cuina oberta i equipada, ampli saló menjador, Plaça de garatge opcional a 97,47 Â€.NO S'ADMENTEN ANIMALS - NO ES PERMETEN ANIMALS";"Pis";"andorra la vella";"andorra la vella";"+ DE 1 MES";74;1;"Lloguer";125;900;12,1621621621622
"28";28;"Lloguer 123 m2 - 3 hab. Atico dúplex de 132 m2, en Andorra la Vella, zona Pyrénées.";"NaN";"andorra la vella";"andorra la vella";"+ DE 1 MES";123;3;"Lloguer";145;1250;10,1626016260163
"29";29;"Lloguer 72 m2 - 3 hab. Es lloga pis al centre d'Andorra amb calefacció inclosa, 3 habitacions, 2 banys complets, saló menjador, cuina tancada i equipada. Possibilitat de llogar parquing a part (80.-Â€). NO S'ACCEPTEN ANIMALS.";"Pis";"andorra la vella";"andorra la vella";"+ DE 1 MES";72;3;"Lloguer";1221;997;13,8472222222222
"30";30;"Lloguer 74 m2 - 1 hab. Pis centric molt a prop de l'eix comercial en zona tranquila de la capital molt lluminós i asolellat, semi moblat.Consta de: gran saló menjador tot exterior de 34m2, 1 habitació gran amb vestidor, 1 bany complet, cuina americana. Plaça d'aparcament doble opcional Â€ 149,-No dubteu en trucar al +376 863 300 per concertar visita o mes informació.";"Pis";"andorra la vella";"andorra la vella";"+ DE 1 MES";74;1;"Lloguer";319;900;12,1621621621622
"31";31;"Lloguer 140 m2 - 3 hab. Gran pis centric molt a prop de l'eix comercial d'Andorra la Vella i de l'illa Carlemany.Consta de: saló menjador de 38m2 amb acces a terrassa, 3 habitacions (1 en suite), 2 banys complets i 1 bany de cortesia, cuina independent, safareig. Plaça d'aparcament opcional Â€98,-No dubteu en trucar al +376 863 300 per mes informacio o concertar visita.";"Pis";"andorra la vella";"andorra la vella";"+ DE 1 MES";140;3;"Lloguer";736;1200;8,57142857142857
"32";32;"Lloguer 153 m2 - 3 hab. Gran pis duplex centric i tranquil a tocar de l'eix comecial d'Andorra la Vella.Consta de: gran saló menjador i sala d'estar de 54m2, 2 habitacions (1 amb accés a terrassa 3m2,  2 banys complets amb banyera, 1 gran espai a les golfes de 58m2 amb bany (es pot habilitar com habitació en suite o zona polivalent), cuina independent equipada amb forn, placa i campana extractora nous, safareig, rebost i traster.Plaça d'aparcament opcional Â€75,-No dubteu en trucar per concertar visita o mes informació al +376 863 300";"Pis";"andorra la vella";"andorra la vella";"+ DE 1 MES";153;3;"Lloguer";1033;1250;8,16993464052288
"33";33;"Lloguer 87 m2 - 3 hab. La propietat de 87,67 m2 situada a l’avinguda comercial d’Andorra la Vella a peu de tots els serveis diaris. Es distribueix en un ampli saló-menjador amb accés a un petit balcó. La cuina esta reformada i equipada.La zona de nit disposa de 3 habitacions, de les quals una es doble tipus suite amb acces al balcó, les altres dos habitaciones comparteixen un bany amb banyera.Al preu no s’inclouen les despeses de consum, no s’accepten animals i la plaça de pàrquing és opcional a raó de 75€.";"NaN";"andorra la vella";"andorra la vella";"+ DE 1 MES";87;3;"Lloguer";321;964;11,0804597701149
"34";34;"Lloguer 130 m2 - 3 hab. Modern loft de 130 metres quadrats, 3 habitacions, 2 banys, cuina, saló-menjador i safareig. A estrenar.";"NaN";"andorra la vella";"andorra la vella";"+ DE 1 MES";130;3;"Lloguer";276;1500;11,5384615384615
"35";35;"Lloguer 87 m2 - 3 hab. Pis en venda al centre d'Andorra la Vella, molt a prop de l'estació d'autobusos, saló menjador, cuina tancada, 3 habitacions (2 dobles i 1 individual), 2 banys (dutxa d'hidromassatge). Zona amb molts serveis al voltant.. Preu de venda:    352.503 Â€";"Pis";"andorra la vella";"andorra la vella";"+ DE 1 MES";87;3;"Lloguer";1252;1050;12,0689655172414
"36";36;"Lloguer 100 m2 - 3 hab. Gran pis molt cèntric acabat de reformar per la zona de Marginets.Consta de: rebedor, saló-menjador exterior, cuina equipadada amb electrodomestics premium, 3 habitacions (1 en suite amb vestidor), 2 banys (un amb banyera i l'altre amb dutxa d'hidromassatge). No disposa d'aparcament al mateix edifici però hi han facilitats al mateix carrer. No s'accepten mascotes.No dubteu en trucar al +376 863 300 per mes informació o concertar una visita.";"Pis";"andorra la vella";"andorra la vella";"+ DE 1 MES";100;3;"Lloguer";118;1150;11,5
"37";37;"Lloguer 100 m2 - 3 hab. Magnífic pis de 3 habitacions situat al centre d'Andorra la Vella. A 100<U+202F>m de l'avinguda Meritxell i Carlemany. Gaudeix de parades d'autobús, centres comercials, serveis públics i entitats financeres ben a prop de la propietat. Aquest, increïble,  apartament està caracteritzat de la següent manera: per una banda trobem, una part principal, amb un ampli saló-menjador assolellat (hores matí), amb accés a la terrassa (4m2) i a la cuina. Trobem una meravellosa cuina amb mobles alts i baixos, forn, vitroceràmica i extracció. D'altra banda, la zona de nit, es divideix en 3 habitacions (dues dobles i una individual) amb armaris encastats totes. Dues de les quals tenen vistes a pati amb cel obert i la tercera vistes a l'exterior. 2 banys complets. Un amb banyera i l'altre amb plat de dutxa i terra de resina.Finalment, té una plaça d'aparcament i un traster de 4m2 en la mateixa finca. Consums a gasoil. Previsió de 100<U+202F>€ mensuals (aigua calenta, freda i calefacció).";"Pis";"meritxell";"andorra la vella";"+ DE 1 MES";100;3;"Lloguer";1383;1500;15
"38";38;"Lloguer 150 m2 - 3 hab. Es lloga preciós àtic dúplex de 150m2 situat al centre neuràlgic d'Andorra, dividit en dos ambients, consta de 3 habitacions grans i 3 banys i una terrassa amb vistes. A més d'una cuina gran i parquet, junt amb armaris encastats.Disposa d'una plaça d'aparcament opcional per 75€.";"NaN";"andorra la vella";"andorra la vella";"+ DE 1 MES";150;3;"Lloguer";331;1250;8,33333333333333
"39";39;"Lloguer 140 m2 - 3 hab. Es lloga pis a 5 minuts de l'avda. Meritxell, consta de 140 m2, dividit en 3 habitacions, 2 banys, cuina gran, armaris encastats, safareig, terra de parquet i una àmplia terrassa amb vistes.Consta de plaça de pàrquing opcional 94,47€";"Pis";"meritxell";"andorra la vella";"+ DE 1 MES";140;3;"Lloguer";373;1200;8,57142857142857
"40";40;"Lloguer 35 m2 - 1 hab. Zona plaça de les arcades, local de 35 m2 amb un bany.Ideal per una botiga.";"NaN";"andorra la vella";"andorra la vella";"+ DE 1 MES";35;1;"Lloguer";241;950;27,1428571428571
"41";41;"Lloguer 88 m2 - 3 hab. Apartament cèntric lloguer a Andorra la Vella, de 88m². L'immoble consta de 3 dormitoris, 2 banys complets, cuina equipada amb forn, vitroceràmica, campana, saló menjador amb llar de foc, amb accés a una terrassa de 11m2. . Plaça d'aparcament opcional al mateix edifici per 95 €. Magnífiques vistes i sol tot el dia.";"NaN";"andorra la vella";"andorra la vella";"+ DE 1 MES";88;3;"Lloguer";362;1200;13,6363636363636
"42";42;"Lloguer 92 m2 - 3 hab. Pis reformat molt lluminós amb vistes i sol al centre de la capital a tocar de tots els serveisConsta de: 3 habitacions (1 suite) , 2 banys, gran cuina independent, saló menjador amb accés a balcò.. Plaça d'aparcament opcional a Â€ 75,-No dubteu en trucar al +376 863 300 per mes informació o concertar visita.";"Pis";"andorra la vella";"andorra la vella";"+ DE 1 MES";92;3;"Lloguer";662;965;10,4891304347826
"43";43;"Lloguer 92 m2 - 2 hab. Fantàstic pis situat al principal eix comercial del Principat d'Andorra,  Aquesta propietat consta d'un ampli saló menjador amb accés a un petit balcó, dues habitacions dobles, cuina semi oberta i dues cambres de bany completes.  Hi ha la possibilitat de llogar una plaça d'aparcament per un import addicional de 97 ?  NO S'ACCEPTEN ANIMALS";"Pis";"pal";"andorra la vella";"+ DE 1 MES";92;2;"Lloguer";550;1016;11,0434782608696
"44";44;"Lloguer 185 m2 - 3 hab. Fantàstic pis a estrenar en lloguer a  Andorra la Vella, just entre Andorra i Escaldes, prop de l'hospital i amb accés molt ràpid al centre comercial. ES un pis amb acabats de luxe i tot tipus de detalls de qualitat i domotics. totalment exterior gaudeix de una llum insuperable per la poca construcció que hi ha al devant. Disposa de 185 m2 aproximats , Segons distribució podria diferenciar-se una zona de servei. Es divideix en rebedor, saló menjador enorme, cuina office equipada amb mobiliari i electrodomèstics d'alta gama , bany de cortesia, amplia zona de rentat de roba i planxat, . El dormitori té incorporat un bany en suite i un ampli vestidor totalment moblat , amb calaixos i tot el necessari. ~ la calefacció és radiant per terra i de baix consum. Cada unitat disposa de un enorme garatge privat per 4 vehicles amb zona de rentat i un traster de 20 m2~ ~ Primer pis: 3500 euros/mes~ Àtic 4000/euros mes~ despeses no incloses~ garanties imprescindibles~ ~";"Pis";"andorra la vella";"andorra la vella";"+ DE 1 MES";185;3;"Lloguer";546;3500;18,9189189189189
"45";45;"Lloguer 96 m2 - 2 hab. Fantástico piso para alquilar, en el centro de Andorra La Vella,en la zona de Prada Ramón.~ Su distribución es la siguiente:~ Recibidor, salón comedor y sala de estar, cocina americana equipada con horno, vitro-cerámica y campana.~ 1 dormitorio doble tipo suite con zona de vestidor y 1 baño completo, 1 dormitorio individual y un trastero interior de 16,43 m2~ NO se admiten animales.~ Posibilidad de plaza de aparcamiento en el mismo edificio~ Consumo de calefacción y agua según consumo. ~";"Pis";"andorra la vella";"andorra la vella";"+ DE 1 MES";96;2;"Lloguer";794;1100;11,4583333333333
"46";46;"Lloguer 93 m2 - 2 hab. Piso en Andorra la Vella muy céntrico~ Piso para alquilar en Andorra la Vella,muy bien situado por su proximidad de todos los servicios y tocando la Avenida principal,Avinguda Meritxell.~ Este piso consta de  2 dormitorios,de los cuales 1 en suite y 1 individual,con armarios empotrados.~ Salón comedor,cocina independiente.~ Con acabados de calidad,edificio con ascensor.~ Calefacción a gasoil ( según consumo).~ Con plaza de aparcamiento opcional en el mismo edificio.~ No se admiten animales.";"Pis";"meritxell";"andorra la vella";"+ DE 1 MES";93;2;"Lloguer";445;1017;10,9354838709677
"47";47;"Lloguer 88 m2 - 3 hab. Esplendido piso de alquiler en  el mismo centro de Andorra la Vella. Inmejorable ubicación. ~ Este piso de 87,67 m2 consta de 3 dormitorios, 2 baños,cocina independiente(no equipada), salón comedor con salida a balcón además de  una pequeña zona de despensa y lavadero.~ Aparcamiento en el mismo edificio opcional(75€).~ Gastos de calefacción, según consumo.  ~ NO SE ADMITEN MASCOTAS.~ ~ ~ ~ ~";"Pis";"andorra la vella";"andorra la vella";"+ DE 1 MES";88;3;"Lloguer";547;965;10,9659090909091
"48";48;"Lloguer 88 m2 - 3 hab. Pis de 88m2 amb 7,45 metres de terrassa, consta de 3 habiatacions, 2 banys un complet i l'altre dutxa, cuina reformada equipada amb forn, vitroceràmica, extractor, armaris encastants.Plaça d'aparcament opcional. (95 euros)Fotos de un pis similar.";"Pis";"andorra la vella";"andorra la vella";"+ DE 1 MES";88;3;"Lloguer";809;985;11,1931818181818
"49";49;"Lloguer 75 m2 - 1 hab. Fantástico piso para alquilar ,de nueva construcción,a,estrenar,en el centro de Andorra La Vella,en la zona de Prada Ramón.~ Su distribución es la siguiente:~ Recibidor,salón comedor y sala de estar,cocina americana equipada con horno, vitro-cerámica y campana.~ 1 dormitorio doble tipo suite con zona de vestidor y 1 baño completo.~ NO se admiten animales.~ Posibilidad de plaza de aparcamiento en el mismo edificio OPCIONAL~ NO ESTÁ AMUEBLADO~";"Pis";"andorra la vella";"andorra la vella";"+ DE 1 MES";75;1;"Lloguer";579;900;12
"50";50;"Lloguer 99 m2 - 3 hab. Pis situat al centre d'Andorra, reformat i sense estrenar a la zona dels Marginets amb una superfície de 99,27m2 amb un ampli saló menjador amb cuina independent tres dormitoris, un és tipus suite i dos banys, un amb banyera i l'altra amb dutxa.";"Pis";"andorra la vella";"andorra la vella";"+ DE 1 MES";99;3;"Lloguer";703;1250;12,6262626262626
"51";51;"Lloguer 160 m2 - 2 hab. Espectacular pis de 160,75 situat al centre d'Andorra, totalment reformat amb acabats de qualitat. Molt assolellat i amb vistes panoràmiques sobre la Vall.Disposa de gran saló menjador amb sortida a la terrassa, cuina semioberta totalment equipada, 2 dormitoris dobles (1 suite), amb armaris encastats, dos banys complets amb dutxa, un despatx i safareig.Tot exterior amb persianes elèctriques. Inclou box per a dos vehicles.";"Pis";"andorra la vella";"andorra la vella";"+ DE 1 MES";160;2;"Lloguer";453;3200;20
"52";52;"Lloguer 116 m2 - 3 hab. Piso centrico en el centro de andorra, al lado de la embajada Española, en la calle donde se encuentra el Gobierno, y numerosos servicios. Consta de recibidor, salon comedor con chimenea y acceso a una de las terrazas, . la cocina dispone de una zona office y está equipada y amueblada. Dispone de tres dormitorios dobles con armarios empotrados, uno de ells en suite. Dispone de dos baños completos, uno con ducha de hidromasaje y el otro con bañera. En el precio se incluye una  plazas de aparcamiento y un trastero.";"Pis";"andorra la vella";"andorra la vella";"+ DE 1 MES";116;3;"Lloguer";859;1500;12,9310344827586
"53";53;"Lloguer 150 m2 - 3 hab. Elegant apartament àtic dúplex tot exterior i asolellat, completament moblat a tocar de tots els serveis i centres comercials.Consta de: Saló menjador molt espaiós amb accés a una terrassa que envolta el menjador, 3 dormitoris dobles, 3 banys dobles, zona de despatx, cuina independent office equipada amb tots els electrodomèstics, safareig, plaça d'aparcament inclosa. Segona plaça d'aparcament opcional (100Â€).No dubteu en trucar al +376 863 300 per mes informació o concertar una visita.";"NaN";"andorra la vella";"andorra la vella";"+ DE 1 MES";150;3;"Lloguer";271;2200;14,6666666666667
"54";54;"Lloguer 300 m2 - 4 hab. Dúplex en lloguer a Andorra la Vella de 300m² distribuïts en 4 dormitoris, 3 banys, cuina independent i saló menjador amb terrassa.  Aparcament per 3 cotxes. - NO ES PERMETEN ANIMALS";"NaN";"andorra la vella";"andorra la vella";"+ DE 1 MES";300;4;"Lloguer";289;2200;7,33333333333333
"55";55;"Lloguer 140 m2 - 3 hab. Rústic i confortable pis de 140m2 aproximadament, en edificació a la perifèria del centre d'Andorra la Vella amb magnífiques vistes a la vall, la zona es caracteritza per disposar espais d'esport i col·legis. Amb bones qualitats de construcció en general, la propietat consta d'un bon saló menjador amb un gran finestral des d'on gaudirem de les vistes i del sol fins a última hora, cuina office equipada i amb zona de bugaderia, 4 dormitoris dobles (1 en suitte de confortable mida i gran finestral les altres 3 habitacions són dobles grans), 2 banys complets amb dutxa, plaça de garatge per a 2 cotxes. Aquesta propietat pot ser perfectament el teu pròxim llar.En lloguer a 1600 Â€ + 100 Â€ de despeses a compte. Possibilitats de tenir mascota.";"Pis";"andorra la vella";"andorra la vella";"+ DE 1 MES";140;3;"Lloguer";235;1600;11,4285714285714
